,estimator,mean_score,max_score,decay,epochs,lr
15,ffNN,0.7727272748947144,0.8636363744735718,0.001,80,0.01
9,ffNN,0.7379446744918823,0.8636363744735718,0.001,35,0.01
3,ffNN,0.7379446625709534,0.8636363744735718,0,40,0.01
6,ffNN,0.7284584879875183,0.782608687877655,0,80,0.005
8,ffNN,0.7284584879875183,0.782608687877655,0.001,35,0.005
10,ffNN,0.7201581001281738,0.8181818127632141,0.001,40,0.005
13,ffNN,0.7197628498077393,0.782608687877655,0.001,45,0.01
1,ffNN,0.7197628378868103,0.782608687877655,0,35,0.01
12,ffNN,0.7197628378868103,0.8260869383811951,0.001,45,0.005
14,ffNN,0.7197628378868103,0.8260869383811951,0.001,80,0.005
0,ffNN,0.7193675994873047,0.739130437374115,0,35,0.005
5,ffNN,0.7114624500274658,0.8181818127632141,0,45,0.01
2,ffNN,0.7106719493865967,0.782608687877655,0,40,0.005
4,ffNN,0.7106719374656677,0.8260869383811951,0,45,0.005
7,ffNN,0.7027667999267578,0.8181818127632141,0,80,0.01
11,ffNN,0.7019762992858887,0.739130437374115,0.001,40,0.01
